date,confirmed_cases,new_cases,recovered,confirmed_deaths,new_deaths
3/5/2020,2,0,0,0,0
3/6/2020,2,0,0,0,0
3/7/2020,8,6,0,0,0
3/8/2020,8,0,0,0,0
3/9/2020,9,1,0,0,0
3/10/2020,12,3,0,0,0
3/11/2020,28,16,0,0,0
3/12/2020,45,17,0,0,0
3/13/2020,72,27,0,0,0
3/14/2020,101,29,0,1,1
3/15/2020,131,30,0,1,0
3/16/2020,131,0,0,1,0
3/17/2020,160,29,0,1,0
3/18/2020,183,23,0,2,1
3/19/2020,216,33,0,2,0
3/20/2020,277,61,0,3,1
3/21/2020,363,86,0,4,1
3/22/2020,475,112,0,5,1
3/23/2020,591,116,0,6,1
3/24/2020,720,129,0,7,1
3/25/2020,912,192,0,11,4
3/26/2020,"1,086",174,0,19,8
3/27/2020,"1,430",344,0,24,5
3/28/2020,"1,734",304,0,31,7
3/29/2020,"2,061",327,0,44,13
3/30/2020,"2,627",566,0,51,7
3/31/2020,"2,627",0,0,51,0
4/1/2020,"2,966",339,0,69,18
4/2/2020,"3,342",376,0,80,11
4/3/2020,"3,728",386,0,97,17
4/4/2020,"4,173",445,0,111,14
4/5/2020,"4,565",392,0,126,15
4/6/2020,"4,950",385,0,140,14
4/7/2020,"5,172",222,0,150,10
4/8/2020,"5,429",257,0,179,29
4/9/2020,"5,655",226,0,193,14
4/10/2020,"6,510",855,0,250,57
4/11/2020,"6,510",0,0,250,0
4/12/2020,"6,893",383,0,274,24
4/13/2020,"7,684",791,0,304,30
4/14/2020,"7,691",7,0,308,4
4/15/2020,"7,941",250,0,329,21
4/16/2020,"8,280",339,0,357,28
4/17/2020,"8,675",395,0,374,17
4/18/2020,"9,047",372,0,391,17
4/19/2020,"9,433",386,0,411,20
4/20/2020,"9,730",297,0,422,11
4/21/2020,"10,106",376,0,449,27
4/22/2020,"10,447",341,0,486,37
4/23/2020,"10,878",431,0,508,22
4/24/2020,"11,262",384,0,552,44
4/25/2020,"12,255",993,"2,086",674,122
4/26/2020,"12,968",713,"2,150",674,0
4/27/2020,"13,441",473,"2,150",680,8
4/28/2020,"13,879",438,"2,275",706,26
4/29/2020,"14,316",437,"2,275",760,54
4/30/2020,"14,758",442,"2,415",766,6
5/1/2020,"15,284",526,"2,486",777,11
5/2/2020,"15,768",484,"2,553",820,43
5/3/2020,"16,225",457,"2,607",832,12
5/4/2020,"16,635",410,"2,650",842,10
5/5/2020,"16,907",272,"2,743",851,9
5/6/2020,"17,364",457,"2,801",903,52
5/7/2020,"17,830",466,"2,869",921,18
5/8/2020,"18,371",541,"2,869",961,40
5/9/2020,"18,827",456,"2,974",961,0
5/10/2020,"19,375",548,"3,023",967,7
5/11/2020,"19,703",328,"3,076",981,14
5/12/2020,"19,879",176,"3,114",987,6
5/13/2020,"20,157",278,"3,171","1,009",22
5/14/2020,"20,475",318,"3,217","1,062",53
5/15/2020,"20,838",363,"3,217","1,091",29
5/16/2020,"21,232",394,"3,312","1,091",0
5/17/2020,"21,633",401,"3,346","1,091",0
5/18/2020,"21,938",305,"3,346","1,091",0
5/19/2020,"22,202",264,"3,431","1,134",43
5/20/2020,"22,482",280,"3,478","1,181",47
5/21/2020,"22,797",315,"3,532","1,214",33
5/22/2020,"23,191",394,"3,580","1,275",61
5/23/2020,"23,487",296,"3,612","1,301",26
5/24/2020,"23,964",477,"3,640","1,301",0
5/25/2020,"24,174",210,"3,666","1,301",0
5/26/2020,"24,269",95,"3,702","1,301",0
5/27/2020,"24,565",296,"3,741","1,327",26
5/28/2020,"24,767",202,"3,783","1,348",21
5/29/2020,"25,121",354,"3,838","1,381",33
5/30/2020,"25,613",492,"3,859","1,394",13
5/31/2020,"26,098",485,"3,919","1,394",0
6/1/2020,"26,378",280,"3,919","1,394",0
6/2/2020,"26,577",199,"3,954","1,398",4
6/3/2020,"26,788",211,"3,983","1,441",43
6/4/2020,"27,060",272,"4,014","1,467",26
6/5/2020,"27,360",300,"4,034","1,468",1
6/6/2020,"27,615",255,"4,055","1,487",19
6/7/2020,"27,848",233,"4,074","1,487",0
6/8/2020,"28,001",153,"4,091","1,487",0
6/9/2020,"28,183",182,"4,112","1,505",18
6/10/2020,"28,347",164,"4,130","1,525",20
6/11/2020,"28,499",152,"4,150","1,541",16
6/12/2020,"28,647",148,"4,169","1,552",11
6/13/2020,"28,822",175,"4,184","1,561",9
6/14/2020,"29,017",195,"4,178","1,561",0
6/15/2020,"29,130",113,"4,196","1,561",0
6/16/2020,"29,299",169,"4,196","1,586",25
6/17/2020,"29,442",143,"4,231","1,586",0
6/18/2020,"29,673",231,"4,253","1,615",29
6/19/2020,"29,901",228,"4,280","1,630",15
6/20/2020,"30,187",286,"4,296","1,642",12
6/21/2020,"30,349",162,"4,309","1,642",0
6/22/2020,"30,539",190,"4,328","1,642",0
6/23/2020,"30,705",166,"4,342","1,651",9
6/24/2020,"30,893",188,"4,370","1,668",17
6/25/2020,"31,155",262,"4,392","1,670",2
6/26/2020,"31,479",324,"4,412","1,688",18
6/27/2020,"31,796",317,"4,430","1,695",7
6/28/2020,"32,022",226,"4,442","1,695",0
6/29/2020,"32,307",285,"4,459","1,695",0
6/30/2020,"32,511",204,"4,479","1,721",26
7/1/2020,"32,715",204,"4,502","1,733",12
7/2/2020,"33,029",314,"4,524","1,733",0
7/3/2020,"33,352",323,"4,541","1,734",1
7/4/2020,"33,619",267,"4,557","1,734",0
7/5/2020,"33,866",247,"4,568","1,734",0
7/6/2020,"34,065",199,"4,603","1,734",0
7/7/2020,"34,257",192,"4,636","1,755",21
7/8/2020,"34,664",407,"4,669","1,755",0
7/9/2020,"35,116",452,"4,669","1,757",2
7/10/2020,"35,525",409,"4,691","1,794",37
7/11/2020,"36,191",666,"4,728","1,799",5
7/12/2020,"36,591",400,"4,749","1,799",0
7/13/2020,"36,913",322,"4,780","1,799",0
7/14/2020,"37,242",329,"4,808","1,802",3
7/15/2020,"37,686",444,"4,844","1,807",5
7/16/2020,"38,155",469,"4,880","1,814",7
7/17/2020,"38,726",571,"4,909","1,828",14
7/18/2020,"39,344",618,"4,927","1,828",0
7/19/2020,"39,788",444,"4,948","1,828",0
7/20/2020,"40,142",354,"4,969","1,828",0
7/21/2020,"40,566",424,"5,019","1,828",0
7/22/2020,"41,059",493,"5,064","1,856",28
7/23/2020,"41,698",639,"5,095","1,856",0
7/24/2020,"42,314",616,"5,122","1,858",2
7/25/2020,"42,980",666,"5,133","1,874",16
7/26/2020,"43,789",809,"5,158","1,874",0
7/27/2020,"44,336",547,"5,182","1,874",0
7/28/2020,"44,565",229,"5,212","1,881",7
7/29/2020,"45,314",749,"5,243","1,892",11
7/30/2020,"45,796",482,"5,277","1,901",9
7/31/2020,"46,204",408,"5,309","1,904",3
8/1/2020,"46,809",605,"5,334","1,904",0
8/2/2020,"47,267",458,"5,359","1,904",0
8/3/2020,"47,716",449,"5,393","1,904",0
8/4/2020,"47,968",252,"5,424","1,923",19
8/5/2020,"48,394",426,"5,449","1,923",0
8/6/2020,"48,988",594,"5,471","1,930",7
8/7/2020,"49,436",448,"5,490","1,942",12
8/8/2020,"49,893",457,"5,490","1,949",7
8/9/2020,"50,324",431,"5,507","1,949",0
8/10/2020,"50,660",336,"5,554","1,949",0
8/11/2020,"51,039",379,"5,579","1,959",10
8/12/2020,"51,441",402,"5,608","1,964",5
8/13/2020,"51,756",315,"5,630","1,969",5
8/14/2020,"52,219",463,"5,644","1,976",7
8/15/2020,"52,538",319,"5,660","1,981",5
8/16/2020,"52,838",300,"5,660","1,981",0
8/17/2020,"53,176",338,"5,695","1,981",0
8/18/2020,"53,370",194,"5,712","1,991",10
8/19/2020,"53,631",261,"5,729","2,001",10
8/20/2020,"53,901",270,"5,759","2,013",12
8/21/2020,"54,230",329,"5,759","2,028",15
8/22/2020,"54,586",356,"5,791","2,028",0
8/23/2020,"54,883",297,"5,804","2,028",0
8/24/2020,"55,143",260,"5,823","2,028",0
8/25/2020,"55,341",198,"5,841","2,037",9
8/26/2020,"55,800",459,"5,867","2,039",2
8/27/2020,"55,993",193,"5,881","2,048",9
8/28/2020,"56,343",350,"5,907","2,048",0
8/29/2020,"56,773",430,"5,921","2,056",8
8/30/2020,"57,041",268,"5,933","2,056",0
8/31/2020,"57,223",182,"5,946","2,056",0
9/1/2020,"57,424",201,"5,953","2,062",6
9/2/2020,"57,775",351,"5,979","2,066",4
9/3/2020,"58,019",244,"5,992","2,066",0
9/4/2020,"58,287",268,"6,011","2,074",8
9/5/2020,"58,655",368,"6,029","2,079",5
9/6/2020,"58,989",334,"6,049","2,079",0
9/7/2020,"59,274",285,"6,057","2,079",0
9/8/2020,"59,487",213,"6,074","2,079",0
9/9/2020,"59,674",187,"6,093","2,081",2
9/10/2020,"59,920",246,"6,102","2,095",14
9/11/2020,"60,185",265,"6,117","2,102",7
9/12/2020,"60,492",307,"6,139","2,102",0
9/13/2020,"60,907",415,"6,156","2,102",0
9/14/2020,"61,324",417,"6,162","2,102",0
9/15/2020,"61,699",375,"6,184","2,107",5
9/16/2020,"62,099",400,"6,197","2,118",11
9/17/2020,"62,686",587,"6,220","2,118",0
9/18/2020,"63,145",459,"6,241","2,124",6
9/19/2020,"63,750",605,"6,254","2,126",2
9/20/2020,"64,356",606,"6,274","2,126",0
9/21/2020,"64,857",501,"6,291","2,126",0
9/22/2020,"65,399",542,"6,306","2,127",1
9/23/2020,"66,053",654,"6,332","2,139",12
9/24/2020,"66,669",616,"6,351","2,139",0
9/25/2020,"67,217",548,"6,384","2,148",9
9/26/2020,"67,926",709,"6,404","2,153",5
9/27/2020,"68,510",584,"6,424","2,153",0
9/28/2020,"69,079",569,"6,441","2,153",0
9/29/2020,"69,490",411,"6,469","2,158",5
9/30/2020,"70,025",535,"6,500","2,165",7
10/1/2020,"70,536",511,"6,531","2,173",8
10/2/2020,"71,218",682,"6,556","2,175",2
10/3/2020,"71,898",680,"6,576","2,181",6
10/4/2020,"72,555",657,"6,609","2,181",0
10/5/2020,"73,076",521,"6,635","2,181",0
10/6/2020,"73,537",461,"6,655","2,181",0
10/7/2020,"74,191",654,"6,696","2,196",15
10/8/2020,"74,922",731,"6,727","2,203",7
10/9/2020,"75,785",863,"6,756","2,210",7
10/10/2020,"76,619",834,"6,792","2,211",1
10/11/2020,"77,642","1,023","6,814","2,211",0
10/12/2020,"78,461",819,"6,835","2,211",0
10/13/2020,"79,037",576,"6,869","2,211",0
10/14/2020,"80,085","1,048","6,922","2,222",11
